name,qv_m3s,hv_pa,cost,volume_m3
EBMW1G180_axial_DC,"[0.0, 0.111111, 0.138889, 0.166667, 0.194444, 0.222222, 0.255556]","[710, 300, 288, 250, 180, 100, 0]",,
EBM208_axial_AC,"[0.0, 0.138889, 0.166667, 0.194444, 0.222222]","[200, 135, 107, 70, 0]",,
EBM250_axial_AC,"[0.0, 0.333333, 0.388889, 0.444444, 0.513889]","[220, 105, 85, 60, 0]",,
EBM_4118_NH4,"[0.0, 0.028889, 0.041667, 0.052222, 0.067778, 0.084444, 0.099444]","[357, 224, 193, 184, 148, 86, 0]",,
EBM_4118_NH6,"[0.0, 0.011111, 0.022222, 0.036111, 0.047222, 0.083333, 0.111111, 0.122222]","[660, 600, 500, 400, 320, 280, 120, 0]",,
EBM208_axial_AC_60Hz,"[0.0, 0.180556, 0.2, 0.222222, 0.256944]","[200, 135, 107, 70, 0]",,
EBMW1G208_axial_DC,"[0.102778, 0.138889, 0.166667, 0.187778, 0.211111, 0.258333, 0.291667]","[300, 225, 200, 185, 150, 75, 0]",,
Sunon_DP200_2123XBT_AC_60Hz,"[0.0, 0.006944, 0.013889, 0.021111, 0.028056, 0.035, 0.042222, 0.049167, 0.053889]","[97, 87, 72, 40, 32, 29, 25, 15, 0]",,
Sunon_DP200_2123XBT_AC_50Hz,"[0.0, 0.006944, 0.013889, 0.021111, 0.028056, 0.035, 0.042222, 0.045556]","[84, 77, 62, 33, 28, 25, 12, 0]",,
EBMW2E200_axial_AC_50Hz,"[0.0, 0.041667, 0.083333, 0.104167, 0.125, 0.145833, 0.166667, 0.208333, 0.254167]","[165, 140, 120, 105, 100, 95, 85, 60, 0]",,
EBMW2E142BB_AC_50Hz,"[0.0, 0.004167, 0.018056, 0.026389, 0.034722, 0.041667, 0.05, 0.073611, 0.079167, 0.086111, 0.094444]","[164, 160, 140, 120, 100, 80, 60, 50, 40, 20, 0]",,
EBMACi_4420HH_AC,"[0.0, 0.001389, 0.003611, 0.006667, 0.010278, 0.014444, 0.018889, 0.023889, 0.03, 0.038056, 0.041389, 0.044167, 0.045556, 0.047222, 0.048889, 0.05]","[72, 70, 65, 60, 55, 50, 45, 40, 35, 30, 25, 20, 15, 10, 5, 0]",,
JF0825-1H-02,"[0.0, 0.000555, 0.00111, 0.001619, 0.002267, 0.003008, 0.003748, 0.004673, 0.005645, 0.006709, 0.007912, 0.008699, 0.009485, 0.010642, 0.011382, 0.012215, 0.012863, 0.013835, 0.014714, 0.015408, 0.016148, 0.016657, 0.017258, 0.017721, 0.018045]","[36.283, 34.8272, 33.3714, 31.9156, 30.0119, 27.9961, 25.9804, 23.6287, 21.501, 19.3733, 17.1336, 15.6778, 14.446, 12.7662, 11.8704, 10.8625, 10.1906, 9.0708, 7.8389, 6.7191, 5.2633, 4.1434, 2.5756, 1.3438, 0.224]",,
