temperature_K,pressure_Pa,cp_J_kgK,dyn_visc_Pa_s,therm_cond_W_mK,density_kg_m3,freezing_pt_K,boiling_pt_K
273.15,101325,,1.1241,,894.1,0,1000
283.15,101325,,0.4911,,887.8,,
293.15,101325,,0.23939,,881.5,,
303.15,101325,,0.12842,,875.4,,
313.15,101325,,0.07455,,869.3,,
323.15,101325,,0.04643,,863,,
333.15,101325,,0.03058,,856.9,,
343.15,101325,,0.02117,,850.6,,
353.15,101325,,0.01528,,844.4,,
363.15,101325,,0.01142,,838.3,,
373.15,101325,,0.0088,,832.2,,
423.15,101325,,0.0029,,830,,
473.15,101325,,0.0025,,829,,
