temperature_K,pressure_Pa,cp_J_kgK,cv_J_kgK,dyn_visc_Pa_s,therm_cond_W_mK,prandtl,density_kg_m3,sutherland_const,kin_visc_m2_s
175,101325,1400,715,1.18e-05,0.0159,0.744,2.02,120,5.86e-06
200,101325,1400,715,1.33e-05,0.0181,0.736,1.77,,7.53e-06
225,101325,1400,716,1.47e-05,0.0202,0.728,1.57,,9.35e-06
250,101325,1400,716,1.6e-05,0.0223,0.72,1.41,,1.13e-05
275,101325,1400,717,1.73e-05,0.0243,0.713,1.28,,1.34e-05
300,101325,1400,718,1.85e-05,0.0262,0.707,1.18,,1.57e-05
325,101325,1400,719,1.96e-05,0.0282,0.701,1.09,,1.81e-05
350,101325,1400,721,2.08e-05,0.03,0.697,1.01,,2.06e-05
375,101325,1400,724,2.18e-05,0.0319,0.692,0.941,,2.32e-05
400,101325,1400,726,2.29e-05,0.0337,0.688,0.882,,2.59e-05
450,101325,1390,734,2.49e-05,0.0371,0.684,0.784,,3.17e-05
500,101325,1390,742,2.67e-05,0.0404,0.68,0.706,,3.78e-05
550,101325,1380,753,2.85e-05,0.0436,0.68,0.642,,4.44e-05
600,101325,1380,764,3.02e-05,0.0466,0.68,0.588,,5.13e-05
650,101325,1370,776,3.18e-05,0.0495,0.682,0.543,,5.85e-05
700,101325,1360,788,3.33e-05,0.0524,0.684,0.504,,6.61e-05
750,101325,1360,800,3.48e-05,0.0551,0.687,0.471,,7.4e-05
800,101325,1350,812,3.62e-05,0.0577,0.69,0.441,,8.21e-05
850,101325,1350,823,3.76e-05,0.0603,0.693,0.415,,9.06e-05
900,101325,1340,834,3.9e-05,0.0628,0.696,0.392,,9.94e-05
950,101325,1340,844,4.03e-05,0.0652,0.699,0.372,,0.000108
1000,101325,1340,854,4.15e-05,0.0675,0.702,0.353,,0.000118
1050,101325,1330,863,4.28e-05,0.0699,0.704,0.336,,0.000127
1100,101325,1330,872,4.4e-05,0.0721,0.707,0.321,,0.000137
1150,101325,1330,880,4.51e-05,0.0743,0.709,0.307,,0.000147
1200,101325,1320,888,4.63e-05,0.0764,0.711,0.294,,0.000157
1250,101325,1320,895,4.74e-05,0.0785,0.713,0.282,,0.000168
1300,101325,1320,901,4.85e-05,0.0805,0.715,0.272,,0.000179
1350,101325,1320,908,4.95e-05,0.0825,0.717,0.262,,0.000189
1400,101325,1310,913,5.06e-05,0.0845,0.719,0.252,,0.000201
1500,101325,1310,924,5.26e-05,0.0883,0.722,0.235,,0.000224
1600,101325,1310,934,5.46e-05,0.092,0.724,0.221,,0.000247
1700,101325,1310,942,5.65e-05,0.0955,0.726,0.208,,0.000272
1800,101325,1300,950,5.83e-05,0.099,0.728,0.196,,0.000297
1900,101325,1300,957,6.01e-05,0.102,0.73,0.186,,0.000323
